author,year,intervention_name,scale_name,delay,paper_title,coder,lab_or_field,lab_field,program_name,publication_type,origin,setting,stage_in_life,mean_age,participant_sex,percent_of_male,percent_dominant_racial_or_ethnic_group,country,state,number_of_participant,type_of_control,intervention_description,brief_description_of_the_intervention,delivery_of_treatment,intervention_length,time_intervention_took,additional_contact,stated_purpose_of_the_intervention,intervention_description,stated_purpose,condition_gender,n_items,contains_randomization,partial_analysis,study_design,is_primary,scale_type,type_of_at_risk_population,n_conditions,n_c_pre,n_c_post,n_t_pre,n_t_post,n_t_group,n_c_group,cluster_type,eff_type,u_s_d,anticipated_direction,ctrl_sd,page_number,comments,d,var_d,se_d,checked,checker_comment,is_red,eliminiate,authors department/education in case belongs to center,lead author department/training,alex comments,
lonsway,2000,fycare - psych,Illinois Rape Myth Acceptance Scale,25,First year campus acquaintance rape education: evaluating the impact of a mandatory intervention,Anne,1,field,First Year Campus Acquaintance Rape Education (FYCARE),1,2,3,3,NA,"3,4",53.84615385,72.6,USA,NA,143,1,0.5,"The intervention included a lecture and discussion addressing the content of cultural rape mythology, interactive participation and use of media presentations, integration of the idea that rape is an expression of power and control, and avoidance of the confrontational techniques that are likely to alientate participants. The two-hour FYCARE workshops were facilitated by peer educators, with 2 male and 2 female facilitators per 40 participants (also half male and half female) during 162 total FYCARE workshops in the fall semester. The first segment, lasting 35 minutes, includes a discussion of statistics and state law. Following this is a brief video (Playing the Game) depicting an acquaintance rape. The second segment takes 45 minutes and involves separating participants into single-sex groups. Finally, they reconvene for 40 minutes to discuss strategies for ending sexual violence, campus services, and survivor support.","1,2,4,5",1,,0,"2,3,4,9,11",NA,"2,3,4,9,11",both,20,FALSE,NA,quasi-experimental,FALSE,attitudes,-,3,,67,,76,not given,not given,cluster randomized,d.i.m,0.1100,1,0.8600,8,NA,0.13,0.03,0.17,,,Loading...,,,,,
black,2000,turning point,rape myth acceptance,0,"Evaluating a psychoeducational sexual assault prevention program incorporating theatrical presentation, peer education, and social work",Anne,0,field,Turning Point,1,2,3,3,31.1,3,25,69,US,Michigan,100,4,0.5,"In a one-hour performance put on by peer-educators, the program covered topics such as (1) myths and facts associated with sexual violence, (2) effects of myths on victims and potential perpetrators, (3) destructive effect of victim blaming responses on survivors who reveal the assault, (4) sensitive and helpful responses to rape survivors, and (5) influence of media on gender socialization and rape myths.",3,1,,0,1,NA,1,both,20,FALSE,NA,pre-post,FALSE,attitudes,-,2,,17,,17,-,-,-,d.i.m,2.6000,1,8.1000,11,NA,0.32,0.11,0.34,,,Loading...,,,,,
black,2000,turning point,rape myth acceptance,61,"Evaluating a psychoeducational sexual assault prevention program incorporating theatrical presentation, peer education, and social work",Anne,0,field,Turning Point,1,2,3,3,31.1,3,25,69,US,Michigan,100,4,0.5,"In a one-hour performance put on by peer-educators, the program covered topics such as (1) myths and facts associated with sexual violence, (2) effects of myths on victims and potential perpetrators, (3) destructive effect of victim blaming responses on survivors who reveal the assault, (4) sensitive and helpful responses to rape survivors, and (5) influence of media on gender socialization and rape myths.",3,1,,0,1,NA,1,both,20,FALSE,NA,pre-post,FALSE,attitudes,-,2,,17,,17,-,-,-,d.i.m,3.6000,1,8.1000,11,"has control group, but not really reported in a way where I could find N or compare",0.44,0.12,0.34,,,Loading...,,,,,
siebold,2000,out of bounds,illinois rape myth acceptance scale - short form,0,Evaluating the effectiveness of a sexual assault prevention program targeting male collegiate athletes,Anne,1,lab,Out of Bounds,4,2,3,3,NA,1,100,NA,US,Michigan,120,4,1,"The intervention consisted a 1.5 hour program session mandated to all male student athletes at the university. The workshop began with a video to provide context and then introduced the five main points that would be covered: definition, consent, laws, choices, resources. Attendance ranged from 30-75 participants per workshop and incorporated interactive, discussion-based activities (like an icebreaker). The second activity identified myths and facts. The next activity consisted of a short video and discussion followed by an explanation of laws and times for questions. The last exercise included three scenarios and discussion about how to respond in order to encourage bystander intervention.","1,2,4,5",1,,0,"1,2",NA,"1,2",male,not given,NA,NA,pre-post,FALSE,attitudes,college athletes,1,,150,,150,3,3,n groups,f.test,0.6850,1,-,100,NA,0.10,0.01,0.11,,,Loading...,,,,,
smith,2000,first step peer education project,rape attitude scale,0,Peer Education: Does focusing  on male responsability change sexual assault attitudes?,Paloma,1,field,First Step Peer Education Project,1,1,2,2,NA,5,0.39,NA,US,Michigan,253,4,1,"The peer education project trained high school students to present sexual assault informatio to their peers, with the goal of reducing sexual assault and decreasing victim blaming and negative attitudes on rape and victims. 
Peer educators where students that applied to the program, where chosen on the basis of being positive role models, hahving concern for thhe issue, and having leadership / public speaking skills. They received a 15 hour training from a local sexual assault organization.
Peer educators (in teams of one boy and one girl) then provided 45 minute presentations in classrooms as well as in large assemblies of teachers, parents and students. The addressed the role of alcohol/drugs, skill building, and gender-specific responsability. Emphasis was set on male responsability.","1,2",1,,0,"1,5,9,10",NA,"1,5,9,10",both,20,NA,NA,pre-post,FALSE,attitudes,-,1,,253,,253,-,-,-,d.i.m,-4.7311,1,7.6116,7,NA,-0.62,0.01,0.11,,,Loading...,,,,,
wright,2000,community awareness rape education,"knowledge about definition of rape, risk reduction measures, and community resources",0,The Community Awareness Rape Education Program for High School Students,Jennifer,1,field,Rape Education,1,1,2,2,16,3,NA,99,USA,Virginia,698,4,1,"This intervention tested rape education in high school students, using a pre-post design. The study found that students had better knowledge of the definition of rape, better understanding of rape myths, and better knowledge of community resources.",5,1,,0,"2, 9, 5, 1",NA,"2, 9, 5, 1",both,7,NA,NA,pre-post,FALSE,attitudes,-,1,,698,,698,3,3,n groups,d.i.p,0.2000,1,0.4800,3,I am approximating the numbers from table,0.57,0.00,0.06,,"SETH: I redid these numbers to change from a log odds ratio to a DPI (and I also renamed the scale_name from ""not given"" to a descriptive overview) but IMO this is a good candidate for removal because A) the outcome includes risk reduction stuff and I think we're trying to steer clear of that and B) we had to guess at these number from a table, they weren't communicated clearly in the text -- and IMO there's little point guessing at numbers, because if authors don't wish to clearly communicate their results, that's a signal about evidentiary quality (and their own faith in the results)",Loading...,1,,,,
silverman,2000,rhode island teen dating violence prevention program,NA,NA,Evaluating the efficacy of the Rhode Island Teen Dating Violence Prevention Program (TDVPP): A Process & Outcome approach to determining the success of both primary & secondary prevention projects,Anne,1,NA,Teen Dating Violence Prevention Program (TDVPP),4,2,1,1,11.87,5,51.1,70.6,US,RI,4401,1,0,"The primary prevention intervention consisted of a one-session, 45-minute intervention delivered to all 6th and 7th grade classrooms in 10 participating middle schools. The intervention sought to increase students' awareness of teen dating violence and attitudes promoting tolerance of TDV by society (gender stereotypes, TDV myths). Student assistant counselors (masters-level clinicians stationed at middle schools) delivered the intervention. A full explanation of the treatment delivery is not included in the paper.",8,1,,1,"1,2",NA,"1,2",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Loading...,1,,,,
pacifici,2001,virtual date,rape myth acceptance,0,Evaluating a Prevention Program for Teenagers on Sexual Coercion: A Differential Effectiveness Approach,Jennifer,1,field,Prevention Program,1,1,2,2,15.8,3,48.2,86,USA,na,547,1,1,This intervention used an education program for high school students to reduce acceptance of sexal coercion via computer in a mixed group environment. Benefits were primarily for those most at risk (i.e. those above pretest mean).,"4,5",4,240 minutes,0,"1,2,9,10",NA,"1,2,9,10",both,9,NA,NA,rct,FALSE,attitudes,-,2,273.5,219,273.5,239,11.5,11.5,cluster randomized,d.i.d,-0.1200,1,0.6400,page556table2,NA,,,,Roni,,Loading...,,?,,,
robb,2001,sexual harassment-prevention program,attitudes toward sexual harassment,0,Self-reported proclivity to harass as a moderator of the effectiveness of the sexual harassment-prevention training,jh,0,lab,NA,1,2,3,3,20,1,100,NA,USA,NA,90,2,0.5,sexual harassment prevention tape,4,1,60 minutes,0,"1,2,3",NA,"1,2,3",male,9,NA,NA,rct,FALSE,attitudes,-,2,46,46,44,44,5.866666667,6.133333333,n groups,t.test,1.6700,-1,-,3,NA,,,,Roni,,Loading...,,psychology,,,
gidycz,2001,acquaintance rape prevention program - female,rape myth acceptance,63,An Evaluation of an Acquaintance Rape Prevention Program,Anne,0,lab,Acquaintance Rape Prevention Program,1,1,3,3,NA,2,0,93,USA,Ohio,808,1,0.5,"Participants were presented information about sexual assault statistics and then completed a ""Rape Myths and Facts"" worksheet. Participants looked at case studies and were given advice about personal safety, resources available, and how to avoid situations that could lead to rape. The program lasted 50-60 minutes",1,1,,0,"1,9",NA,"1,9",female,11,NA,NA,quasi-experimental,FALSE,attitudes,-,3,,460,,351,-,-,-,d.i.d,-0.5900,1,7.0400,9,NA,-0.08,0.01,0.07,,,Loading...,,,,,
gidycz,2001,acquaintance rape prevention program - male,rape myth acceptance,63,An Evaluation of an Acquaintance Rape Prevention Program,Anne,0,lab,Acquaintance Rape Prevention Program,1,1,3,3,NA,1,100,93,USA,Ohio,300,1,0.5,"Participants were presented information about sexual assault statistics and then completed a ""Rape Myths and Facts"" worksheet. Participants looked at case studies and were given advice about personal safety, resources available, and how to avoid situations that could lead to rape. The program lasted 50-60 minutes",1,1,,0,"1,9",NA,"1,9",male,11,NA,NA,quasi-experimental,FALSE,attitudes,-,3,,150,,150,-,-,-,d.i.d,-1.1800,1,8.2700,9,NA,-0.14,0.01,0.11,,,Loading...,,,,,
gidycz,2001,acquaintance rape prevention program - female,ses - victimization,63,An Evaluation of an Acquaintance Rape Prevention Program,Anne,0,lab,Acquaintance Rape Prevention Program,1,1,3,3,NA,2,0,93,USA,Ohio,808,1,0.5,"Participants were presented information about sexual assault statistics and then completed a ""Rape Myths and Facts"" worksheet. Participants looked at case studies and were given advice about personal safety, resources available, and how to avoid situations that could lead to rape. The program lasted 50-60 minutes",1,1,,0,"1,9",NA,"1,9",female,10,NA,NA,quasi-experimental,FALSE,behavior,-,3,,460,,351,-,-,,d,0.1054,1,-,9,NA,0.11,0.33,0.57,,,Loading...,,,,,
gidycz,2001,acquaintance rape prevention program - male,ses - perpetration,63,An Evaluation of an Acquaintance Rape Prevention Program,Anne,0,lab,Acquaintance Rape Prevention Program,1,1,3,3,NA,1,100,93,USA,Ohio,300,1,0.5,"Participants were presented information about sexual assault statistics and then completed a ""Rape Myths and Facts"" worksheet. Participants looked at case studies and were given advice about personal safety, resources available, and how to avoid situations that could lead to rape. The program lasted 50-60 minutes",1,1,,0,"1,9",NA,"1,9",male,10,NA,NA,quasi-experimental,FALSE,behavior,-,3,,150,,150,-,-,-,unspecified null,NA,0,NA,9,NA,NA,NA,NA,,"SETH: ""Because there was not a significant interaction between group membership and perpetration during the quarter, program participation was not related to perpretration during the quarter for men.""",Loading...,,,,,
ward,2001, Mentors in Violence Prevention (MVP) Program ,Attitudes regarding gender violence,14,2000 - 2001 MVP Evaluation Report,jh,1,field,Mentors in Violence Prevention (MVP),5,1,2,2,NA,3,0.47,0.5,USA,NA,283,1,0,NA,NA,75,,0,"1, 2, 11",NA,"1, 2, 11",both,16,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,64.8,,155,10,3,n groups,t.test,2.5425,1,NA,9,NA,-0.22,0.02,0.15,,I (SETH) calculated a t test from the p-value (0.006) and the sample size,Loading...,,,,,
weisz,2001,spring - reaching teens to stop violence,rape attitude scale,183,Evaluating a sexual assault and dating violence prevention program for urban youths,Matej,0,field,NA,1,1,1,1,12.84,4,100,100,USA,NA,66,1,NA,"Separate gender groups with two co-trainers. There were 12 sessions 1.5 hours long. The trainers used the curriculum “Reaching and Teaching Teens to Stop Violence” (Nebraska Domestic Violence Sexual Assault Coalition, 1995). The curriculum was in keeping with our broad definitions of “dating” and of “violence.” Because many seventh graders were not officially “dating,” the program focused on interactions that occur between youths who are attracted to each other and spending time together. Violence was defined as physical harm and coercive tactics, but the program also addressed other gender-related difficulties. The group leaders geared the program to address risk factors for low-income, inner-city African American adolescents by basing discussion and role-plays on the youths’ experiences. 
The curriculum included didactic presentation of information, modeling, role-plays, experiential exercises, and discussions to help participants acquire knowledge and better understand their own attitude behavior. The leaders used role-plays extensively, because students responded very positively to this educational format.","1,3,5",12,,0,"1,2,5,10",1,"1,2,5,10",both,25,FALSE,NA,quasi-experimental,FALSE,attitudes,-,3,,9,,20,-,-,-,d.i.d,13.8600,1,13.0700,7,has behavior doesn't report,1.06,0.17,0.41,,"SETH: these were double coded (this and the study one below it) by separate people, one for fall and one for spring",Loading...,,,,,
weisz,2001,fall - reaching teens to stop violence,rape attitude scale,0,Evaluating a sexual assault and dating violence prevention program for urban youths,Manna,field,field,Reaching and Teaching Teens to Stop Violence,1,2,1,1,12.84,4,45.6,1,USA,Michigan,66,4,1,"The curriculum included didactic presentation of information, modeling, role-plays, experiential ex- ercises, and discussions to help participants acquire knowledge and better understand their own attitudes and behavior. The leaders used role-plays extensively, because students responded very positively to this educational format","1,2,5",12,,1,"1,2,3,4",NA,"1,2,3,4",both,25,FALSE,NA,pre-post,FALSE,attitudes,-,3,,14,,14,-,-,-,f.test,1.0500,1,-,7,NA,0.39,0.14,0.37,,,Loading...,,,,,
bingham,2001,treatment,knowledge scale,7,The Unexpected Effects of a Sexual Harassment Educational Program,jh,1,field,-,1,2,3,4,-,3,0.4698113208,0.89,USA,midwest,530,1,1,"3 minute videotaped speech by checellor, handout and oral presentation, 5 minute discussion",2,0,,0,"2, 7",NA,"2, 7",both,5,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,319,,197,not given,not given,cluster randomized,d.i.m,-0.3900,1,0.9900,15,NA,-0.39,0.01,0.09,,"SETH: ""The progrm was developed under suboptimal conditions by a standing committee of staff and faculty members who volunteered from various departments and positions at the university. Although the committee cared deeply about the issue of sexual harassment, its members had no formal background in training and development or sexual harassment prevention. Moreover, no assessment of participants' needs was conducted prior to the pgoram."" THis is a good example of, we have no idea what attitudinal/knowledge outcomes really corespond to in terms of metnalizing or behavior",Loading...,,,,,
